epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.351,1.0519,2.25799,1.20304,0.56714,0.72886,0.75593,0.58577,0.93268,1.43309,1.04599,0.0670924,0.0003324,0.0003324
2,221.553,0.93391,1.21661,1.148,0.68878,0.77888,0.83236,0.6316,1.04409,1.05783,1.06993,0.034088,0.000661339,0.000661339
3,328.494,0.88573,1.00101,1.12213,0.85857,0.87949,0.91962,0.72519,0.87106,0.69949,1.03712,0.00107925,0.000985879,0.000985879
4,434.781,0.8334,0.86574,1.09409,0.86489,0.91716,0.95393,0.47603,1.83991,5.55052,1.64109,0.0009802,0.0009802,0.0009802
5,540.172,0.78498,0.72048,1.06386,0.95738,0.96565,0.9705,0.45835,1.94957,0.7315,1.86016,0.0009736,0.0009736,0.0009736
6,645.665,0.75922,0.66521,1.05608,0.96888,0.98146,0.98307,0.71427,1.06281,0.50859,1.1102,0.000967,0.000967,0.000967
7,750.663,0.73238,0.61077,1.03706,0.97264,0.97977,0.9818,0.8398,0.6603,0.42092,0.93463,0.0009604,0.0009604,0.0009604
8,854.952,0.71538,0.59515,1.02837,0.96853,0.98238,0.98236,0.88133,0.52635,0.39671,0.90993,0.0009538,0.0009538,0.0009538
9,960.566,0.698,0.56416,1.01749,0.98049,0.9863,0.98346,0.80604,0.79205,0.39073,0.96213,0.0009472,0.0009472,0.0009472
10,1067.26,0.6882,0.53175,1.01368,0.96099,0.96489,0.95646,0.53229,1.53276,0.56842,1.52679,0.0009406,0.0009406,0.0009406
11,1173.18,0.67576,0.52691,1.00507,0.92224,0.85243,0.93757,0.83408,0.49648,0.60309,0.90236,0.000934,0.000934,0.000934
12,1275.84,0.67268,0.52072,1.00277,0.98481,0.99042,0.98455,0.78911,0.87647,0.38153,0.9825,0.0009274,0.0009274,0.0009274
13,1381.57,0.66151,0.49866,0.99805,0.98058,0.98602,0.98465,0.74386,1.01188,0.42063,1.04008,0.0009208,0.0009208,0.0009208
14,1487.29,0.64629,0.49485,0.98872,0.98139,0.98757,0.98289,0.87409,0.58342,0.32817,0.89373,0.0009142,0.0009142,0.0009142
15,1591.42,0.6434,0.48603,0.98951,0.98421,0.98908,0.98277,0.81826,0.7459,0.35123,0.94113,0.0009076,0.0009076,0.0009076
16,1695.99,0.63984,0.48466,0.98666,0.98341,0.98992,0.98354,0.8751,0.56915,0.31422,0.89362,0.000901,0.000901,0.000901
