epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,112.222,1.07749,2.49483,1.29876,0.38758,0.33204,0.27678,0.21168,0.86263,5.82165,1.14029,0.0670924,0.0003324,0.0003324
2,216.349,0.94171,1.39251,1.23304,0.7294,0.7512,0.77526,0.56573,1.08697,1.03682,1.19952,0.034088,0.000661339,0.000661339
3,322.409,0.87758,1.06987,1.19771,0.83349,0.87404,0.90979,0.66053,0.99358,0.75852,1.23334,0.00107925,0.000985879,0.000985879
4,426.546,0.82677,0.8647,1.16272,0.87644,0.94273,0.95346,0.77449,0.76691,0.55145,1.04145,0.0009802,0.0009802,0.0009802
5,532.737,0.78092,0.70625,1.13635,0.88926,0.8896,0.95734,0.82863,0.6612,0.61982,0.99771,0.0009736,0.0009736,0.0009736
6,638.528,0.7556,0.65956,1.11994,0.96555,0.96763,0.98072,0.8484,0.6062,0.43248,0.95929,0.000967,0.000967,0.000967
7,744.126,0.72788,0.61036,1.09897,0.9507,0.96765,0.97844,0.89393,0.49335,0.45771,0.92832,0.0009604,0.0009604,0.0009604
8,847.91,0.7181,0.58322,1.09197,0.97638,0.9858,0.98163,0.83294,0.67036,0.38559,0.97277,0.0009538,0.0009538,0.0009538
9,953.213,0.69543,0.56486,1.07714,0.96977,0.97555,0.98086,0.84661,0.6646,0.40582,0.95204,0.0009472,0.0009472,0.0009472
10,1056.72,0.68459,0.54238,1.06759,0.9451,0.95005,0.93559,0.69558,0.94051,0.46889,1.28725,0.0009406,0.0009406,0.0009406
11,1162.49,0.66696,0.53001,1.05436,0.97612,0.9808,0.9766,0.7038,1.02222,0.4483,1.31818,0.000934,0.000934,0.000934
12,1267.7,0.65793,0.52367,1.0497,0.98512,0.98977,0.98196,0.79952,0.81677,0.37542,1.01211,0.0009274,0.0009274,0.0009274
13,1372.67,0.6533,0.50417,1.04581,0.96977,0.98264,0.98267,0.7984,0.83195,0.40836,1.03575,0.0009208,0.0009208,0.0009208
14,1479.52,0.64072,0.50184,1.03829,0.98354,0.98751,0.98302,0.87869,0.56419,0.33303,0.90941,0.0009142,0.0009142,0.0009142
15,1586.07,0.63959,0.49646,1.03846,0.98374,0.9866,0.98198,0.86191,0.61755,0.34467,0.92706,0.0009076,0.0009076,0.0009076
16,1691.95,0.63361,0.49028,1.03185,0.98304,0.98967,0.98226,0.81955,0.78936,0.34155,1.0044,0.000901,0.000901,0.000901
17,1797.8,0.62085,0.48033,1.0241,0.97979,0.98805,0.98268,0.87186,0.56678,0.3467,0.91397,0.0008944,0.0008944,0.0008944
18,1903.82,0.62007,0.47437,1.02418,0.98706,0.99072,0.9836,0.90531,0.44991,0.28958,0.87904,0.0008878,0.0008878,0.0008878
19,2009.3,0.61735,0.47126,1.02125,0.98587,0.99007,0.98329,0.86878,0.58865,0.30758,0.91896,0.0008812,0.0008812,0.0008812
20,2112.4,0.60901,0.46171,1.01655,0.98705,0.99047,0.98495,0.87343,0.5759,0.30587,0.91414,0.0008746,0.0008746,0.0008746
21,2218.22,0.60773,0.45467,1.01722,0.98698,0.99072,0.98405,0.87263,0.60747,0.31548,0.92245,0.000868,0.000868,0.000868
22,2324.65,0.59452,0.45702,1.00782,0.98676,0.99072,0.98432,0.88611,0.54289,0.29675,0.90208,0.0008614,0.0008614,0.0008614
23,2429.72,0.59679,0.45254,1.00994,0.98662,0.99072,0.98315,0.89081,0.49555,0.28214,0.88722,0.0008548,0.0008548,0.0008548
24,2534.69,0.59059,0.4423,1.00247,0.98718,0.99072,0.98417,0.88647,0.54041,0.29084,0.89426,0.0008482,0.0008482,0.0008482
25,2638.34,0.58536,0.43734,1.00297,0.98755,0.99072,0.98499,0.90237,0.48063,0.28209,0.88202,0.0008416,0.0008416,0.0008416
26,2744.82,0.57625,0.42801,0.99917,0.98755,0.99072,0.98449,0.9024,0.47867,0.27882,0.87489,0.000835,0.000835,0.000835
27,2847.66,0.57986,0.43242,0.99736,0.98745,0.99072,0.98403,0.90164,0.47968,0.27477,0.87842,0.0008284,0.0008284,0.0008284
28,2949.52,0.57965,0.43072,0.9962,0.98718,0.99072,0.98359,0.88861,0.53405,0.28211,0.89348,0.0008218,0.0008218,0.0008218
29,3052.16,0.57426,0.43291,0.99121,0.98776,0.99072,0.98393,0.91356,0.44987,0.26566,0.86542,0.0008152,0.0008152,0.0008152
30,3153.91,0.56692,0.42144,0.98878,0.98737,0.99072,0.98415,0.91156,0.45296,0.25856,0.86527,0.0008086,0.0008086,0.0008086
31,3256.2,0.56515,0.41673,0.98792,0.98775,0.99055,0.98452,0.91063,0.45593,0.26388,0.86657,0.000802,0.000802,0.000802
32,3359.41,0.56421,0.41886,0.9886,0.98746,0.99072,0.98421,0.9017,0.48495,0.26562,0.87385,0.0007954,0.0007954,0.0007954
33,3461.66,0.56391,0.41156,0.98629,0.98728,0.99028,0.98464,0.9019,0.48109,0.26288,0.87229,0.0007888,0.0007888,0.0007888
34,3564.98,0.56252,0.40726,0.98493,0.9878,0.99047,0.9839,0.90552,0.4647,0.26208,0.86815,0.0007822,0.0007822,0.0007822
35,3670,0.55696,0.39867,0.98263,0.98793,0.99072,0.98445,0.90285,0.47289,0.25832,0.87088,0.0007756,0.0007756,0.0007756
36,3772.37,0.55188,0.40038,0.98236,0.98795,0.99072,0.98473,0.90291,0.47442,0.26299,0.86978,0.000769,0.000769,0.000769
37,3874.2,0.55291,0.40482,0.97799,0.98782,0.99072,0.98467,0.90741,0.46342,0.26359,0.86716,0.0007624,0.0007624,0.0007624
38,3976.56,0.55051,0.40076,0.97798,0.98827,0.99072,0.98452,0.90926,0.45842,0.26403,0.86583,0.0007558,0.0007558,0.0007558
39,4079.82,0.5505,0.40238,0.97838,0.98814,0.99072,0.98467,0.91106,0.45084,0.26006,0.86385,0.0007492,0.0007492,0.0007492
40,4182.83,0.54406,0.39531,0.97528,0.98826,0.99072,0.98457,0.91511,0.4408,0.25866,0.86181,0.0007426,0.0007426,0.0007426
41,4287.05,0.54565,0.39544,0.97495,0.98872,0.99072,0.98451,0.91447,0.44052,0.2548,0.86129,0.000736,0.000736,0.000736
42,4391.25,0.54053,0.39158,0.97281,0.98842,0.99072,0.98466,0.91769,0.43252,0.25205,0.86132,0.0007294,0.0007294,0.0007294
